Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",C_Disc_D4.3mm_W1.9mm_P5.00mm,3,0.1uf,
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4001,
"D3, D4",LED_D5.0mm,2,LED,
"H1, H2, H3, H4, H5, H6, H7, H8, H9",MountingHole_3.2mm_M3,9,MountingHole,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Screw_Terminal_01x02,
J2,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J3,16-DIP Package,1,Conn_02x08_Counter_Clockwise,
"J4, J5",PinSocket_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
J6,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J7,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Pin,
"R2, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,R_US,
SW1,PinSocket_1x03_P2.54mm_Vertical,1,SW_SPDT,
"TP1, TP2",TestPoint_Pad_D2.5mm,2,TestPoint,
U1,esp32-s2-mini,1,~,
U2,buck-breakout,1,~,
